**** All Elevator Calls (time,src,dest,state,elev dt) stage 3 ****
Elevator call,15.749018245415527,0,-1,3,0, Done, dt, 24.250981754584473
Elevator call,29.795724992354963,0,13,3,0, Done, dt, 44.20427500764504
Elevator call,61.04837839712013,-2,15,3,1, Done, dt, 38.95162160287987
Elevator call,67.39684559916532,0,12,3,1, Done, dt, 79.60315440083468
Elevator call,72.32053834730914,0,11,3,2, Done, dt, 34.67946165269086
Elevator call,75.45009626287265,-2,0,3,2, Done, dt, 66.54990373712735
Elevator call,79.5386026857368,0,-1,3,3, Done, dt, 24.461397314263195
Elevator call,85.05084296434165,0,17,3,3, Done, dt, 56.949157035658345
Elevator call,99.09729234442648,0,11,3,2, Done, dt, 63.90270765557352
Elevator call,104.82846934416693,0,4,3,0, Done, dt, 37.17153065583307
Elevator call,114.81417324516474,0,8,3,0, Done, dt, 59.18582675483526
Elevator call,132.22282787251766,18,-1,3,0, Done, dt, 100.77717212748234
Elevator call,158.57843474073547,0,-1,3,0, Done, dt, 74.42156525926453
Elevator call,198.24467886016964,0,1,3,2, Done, dt, 32.75532113983036
Elevator call,215.59051445419368,-2,11,3,2, Done, dt, 61.40948554580632
Elevator call,221.97598265680836,0,-2,3,2, Done, dt, 32.024017343191645
Elevator call,228.54160571475745,5,-2,3,2, Done, dt, 81.45839428524255
Elevator call,269.20102863151715,0,11,3,0, Done, dt, 32.79897136848285
Elevator call,282.3742556797197,13,11,3,0, Done, dt, 43.62574432028032
Elevator call,285.98693024600857,-1,-2,3,2, Done, dt, 46.01306975399143
Elevator call,307.87547983371155,6,5,3,1, Done, dt, 27.12452016628845
Elevator call,310.61716965870755,10,13,3,1, Done, dt, 52.38283034129245
Elevator call,312.0106401629912,9,0,3,1, Done, dt, 83.9893598370088
Elevator call,315.10202800168577,-1,-2,3,2, Done, dt, 16.897971998314233
Elevator call,326.89462213255365,0,-1,3,0, Done, dt, 32.10537786744635
Elevator call,328.356698884342,-1,-2,3,2, Done, dt, 25.643301115658005
Elevator call,356.7750171885598,-2,0,3,0, Done, dt, 25.224982811440213
Elevator call,369.88592756734556,0,-1,3,0, Done, dt, 23.11407243265444
Elevator call,374.7234961849488,0,4,3,0, Done, dt, 43.27650381505123
Elevator call,374.8932447072923,0,12,3,2, Done, dt, 35.1067552927077
Elevator call,393.16870473647714,-1,0,3,1, Done, dt, 24.83129526352286
Elevator call,411.8124634838655,20,0,3,1, Done, dt, 66.18753651613451
Elevator call,438.99163815922134,-1,14,3,0, Done, dt, 40.00836184077866
Elevator call,447.93205545529304,0,16,3,0, Done, dt, 81.06794454470696
Elevator call,451.3692847322909,-1,19,3,0, Done, dt, 134.6307152677091
Elevator call,452.03633893661413,-2,5,3,2, Done, dt, 41.96366106338587
Elevator call,468.0898444148602,3,4,3,2, Done, dt, 48.91015558513982
Elevator call,468.8096805917712,-2,11,3,2, Done, dt, 97.19031940822879
Elevator call,473.7625230253907,0,16,3,0, Done, dt, 55.23747697460931
Elevator call,475.6592720845995,-1,19,3,0, Done, dt, 110.34072791540052
Elevator call,481.281534942201,-2,4,3,1, Done, dt, 28.718465057798994
Elevator call,494.9607965395985,0,1,3,1, Done, dt, 40.039203460401495
Elevator call,496.6254987576124,0,2,3,1, Done, dt, 61.37450124238762
Elevator call,499.05586101531685,0,5,3,3, Done, dt, 42.94413898468315
Elevator call,505.16613839243473,14,0,3,3, Done, dt, 79.83386160756527
Elevator call,505.6566422952949,0,-2,3,2, Done, dt, 37.34335770470511
Elevator call,518.0880901967789,16,17,3,3, Done, dt, 103.91190980322108
Elevator call,540.3602365444688,-2,0,3,0, Done, dt, 545.6397634555312
Elevator call,546.6587095561388,12,-1,3,0, Done, dt, 2145.341290443861
Elevator call,552.3403654341223,0,9,3,0, Done, dt, 2793.6596345658777
Elevator call,559.0984936097279,0,5,3,1, Done, dt, 27.90150639027206
Elevator call,589.0230372565832,-1,0,3,1, Done, dt, 27.976962743416834
Elevator call,595.490775913092,-1,5,3,1, Done, dt, 48.509224086908034
Elevator call,597.5318029103412,-2,10,3,1, Done, dt, 95.46819708965882
Elevator call,607.5990041120776,0,5,3,2, Done, dt, 36.40099588792236
Elevator call,611.224500217684,-2,1,3,2, Done, dt, 62.77549978231605
Elevator call,612.0358635006885,0,6,3,2, Done, dt, 88.96413649931151
Elevator call,613.9293840790681,-1,4,3,0, Done, dt, 45.070615920931914
Elevator call,616.3622393479691,-2,2,3,0, Done, dt, 72.63776065203092
Elevator call,623.189995332772,-1,19,3,0, Done, dt, 108.81000466722799
Elevator call,624.9698485206718,-2,14,3,3, Done, dt, 55.0301514793282
Elevator call,629.4378654758448,0,-2,3,1, Done, dt, 41.562134524155226
Elevator call,651.3868818369699,-2,0,3,3, Done, dt, 76.6131181630301
Elevator call,670.989016205667,0,12,3,3, Done, dt, 79.01098379433301
Elevator call,673.6204302245446,-1,-2,3,3, Done, dt, 42.379569775455366
Elevator call,675.8277544680782,-1,-2,3,3, Done, dt, 40.17224553192182
Elevator call,705.2713073876516,0,15,3,2, Done, dt, 41.72869261234837
Elevator call,711.129308865326,-2,14,3,2, Done, dt, 88.87069113467396
Elevator call,713.1376730035772,-2,15,3,1, Done, dt, 49.86232699642278
Elevator call,717.5512012445001,-2,-3,3,1, Done, dt, 83.44879875549987
Elevator call,741.5622717619144,-1,0,3,1, Done, dt, 82.43772823808558
Elevator call,754.6284250093952,-1,7,3,3, Done, dt, 41.37157499060481
Elevator call,775.2702685445281,-2,16,3,3, Done, dt, 67.72973145547189
